Hero Image,Details,Description,in en,translated,name,Excursion Link
y,y,y,n,n,Dolphin Swim Adventure,https://www.hollandamerica.com/nl_NL/shore-excursions/1010059/dolphin-swim-adventure.html
y,y,y,n,n,Dolphin Swim All Inclusive,https://www.hollandamerica.com/nl_NL/shore-excursions/1010059/dolphin-swim-all-inclusive.html
y,y,y,y,n,Dolphin Watch & Snorkel,https://www.hollandamerica.com/nl_NL/shore-excursions/1010059/dolphin-watch-snorkel.html
y,y,y,y,y,Door Het Nationale Park Acadia Fietsen,https://www.hollandamerica.com/nl_NL/shore-excursions/1010056/bike-through-acadia-national-park.html
y,y,y,n,n,Dune Buggy & Beach Snorkel Combo,https://www.hollandamerica.com/nl_NL/shore-excursions/1010059/dune-buggy-beach-snorkel-combo.html
n,y,y,n,y,Dynjandi-Waterval En Sudureyri: Een Voorproefje Van De Westfjorden,https://www.hollandamerica.com/nl_NL/shore-excursions/1010061/dynjandi-waterfall-sudureyri-a-taste-of-the-westfjords.html
y,y,n,y,n,East Coast Art Party,https://www.hollandamerica.com/nl_NL/shore-excursions/1010063/east-coast-art-party.html
n,n,n,n,n,"Over ons

",https://www.hollandamerica.com/nl_NL/shore-excursions/1010059/easy-discover-mexico-papantla-flyers.html
y,y,y,y,y,Een Intiem Kijkje In Acadia National Park,https://www.hollandamerica.com/nl_NL/shore-excursions/1010056/an-intimate-look-at-acadia-national-park.html
y,y,y,y,y,Een Korte Impressie Van Key West,https://www.hollandamerica.com/nl_NL/shore-excursions/1010061/a-slice-of-key-west.html
n,y,y,n,y,Een Voorproefje Van Akureyri,https://www.hollandamerica.com/nl_NL/shore-excursions/1010061/a-taste-of-akureyri.html
n,y,y,n,y,Een Voorsmaakje Van IJsland,https://www.hollandamerica.com/nl_NL/shore-excursions/1010061/a-taste-of-iceland.html
n,y,y,y,n,Een Voorsmaakje Van Newfoundland,https://www.hollandamerica.com/nl_NL/shore-excursions/1010066/a-taste-of-newfoundland.html
y,y,y,y,y,Een Wandeling Door Old Sydney Town,https://www.hollandamerica.com/nl_NL/shore-excursions/1010056/a-walk-through-old-sydney-town.html
